round,loss,accuracy,precision,recall,f1_score
1,2.2794604301452637,0.1907999962568283,0.18268707352490168,0.1908,0.11199568595721889
2,2.1881916522979736,0.22139999270439148,0.3647297775781949,0.22140000000000004,0.15202323066812323
3,2.039332151412964,0.23240000009536743,0.5202828619171062,0.2324,0.17900115050403506
4,1.911264419555664,0.29760000109672546,0.49575364290747154,0.2976,0.26207833300856676
5,1.8328992128372192,0.32670000195503235,0.49709524426575236,0.32670000000000005,0.3049844182837932
6,1.758741855621338,0.3668000102043152,0.5187402861442366,0.3667999999999999,0.3478077620204552
7,1.6823657751083374,0.40849998593330383,0.5454728792337218,0.4084999999999999,0.38779191029893545
8,1.6189743280410767,0.4300000071525574,0.5221008702410291,0.43,0.41951040276452484
9,1.6029025316238403,0.4323999881744385,0.5261573204253694,0.43240000000000006,0.4103310225762688
10,1.556837558746338,0.45719999074935913,0.5262107424101287,0.4572,0.4481482603988937
11,1.5586037635803223,0.4359000027179718,0.5186013501824422,0.4359,0.43196261212506615
12,1.5187138319015503,0.46939998865127563,0.5196024449774519,0.4694,0.4532728477803795
13,1.5654603242874146,0.4390999972820282,0.539285594176447,0.4391,0.4266696475265148
14,1.4962435960769653,0.47870001196861267,0.5314761806328038,0.4787,0.4625762839179351
15,1.5462137460708618,0.45500001311302185,0.5334371366769574,0.455,0.450082231949266
16,1.4810092449188232,0.48739999532699585,0.5320666643127767,0.48739999999999994,0.4745574908982023
17,1.5031256675720215,0.4763999879360199,0.5181834588251418,0.47640000000000005,0.47221206090984624
18,1.4987455606460571,0.4805000126361847,0.509270823596747,0.4805,0.4669609379437453
19,1.477112054824829,0.4887000024318695,0.5262831226239835,0.4887,0.48755285100352636
20,1.4841246604919434,0.49230000376701355,0.5172846039943713,0.4923,0.48549092078799994
